Date,Open,High,Low,Close,Volume
04/11/2025,"444.65","455.79","441.33","454.40","52,483,781"
04/10/2025,"453.56","455.59","432.63","446.18","108,384,094"
04/09/2025,"415.57","467.83","415.43","466.00","142,876,891"
04/08/2025,"438.16","443.14","409.79","416.06","101,248,094"
04/07/2025,"408.66","443.14","402.39","423.69","161,556,984"
04/04/2025,"438.14","440.37","422.67","422.67","117,088,398"
04/03/2025,"456.44","460.07","450.14","450.66","70,456,336"
04/02/2025,"466.12","479.56","465.86","476.15","49,894,488"
04/01/2025,"467.30","473.63","464.42","472.70","41,156,230"
03/31/2025,"461.92","469.86","457.33","468.92","53,000,301"
03/28/2025,"479.81","480.52","468.05","468.94","46,363,801"
03/27/2025,"482.41","486.58","480.25","481.62","33,469,820"
03/26/2025,"492.30","493.16","482.82","484.38","35,043,359"
03/25/2025,"491.39","493.62","490.42","493.46","26,035,240"
03/24/2025,"487.74","491.51","484.40","490.66","34,567,191"
03/21/2025,"474.08","481.61","472.91","480.84","42,234,871"
03/20/2025,"476.88","484.55","476.18","479.26","36,780,551"
03/19/2025,"476.81","485.33","474.87","480.89","40,430,328"
03/18/2025,"479.41","479.61","472.41","474.54","39,072,273"
03/17/2025,"479.61","485.84","477.80","482.77","41,744,352"
03/14/2025,"473.73","480.56","473.12","479.66","43,563,008"
03/13/2025,"476.25","476.28","466.43","468.34","46,563,352"
03/12/2025,"479.16","481.06","471.79","476.92","46,971,078"
